,,,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,,,,,,,,,,,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,Penalties,Penalties,,Kicking,Kicking,Kicking,Kicking,,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,,PAT,PAT,FG,FG,,,
Rk,Team,Date,TO,TO,Pen,Yds,OppPen,OppYds,FGM,Md,3D%,Opp3D%,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Tot,TO,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,TD,XPA,XPM,Att,Md,Sfty,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
1,ARI,2014-09-08,2,1,5,23,6,47,2,1,46.2,40.0,Mon,1,1,,SDG,W 18-17,22,4,14,4,13,6,46.2,0,0,,290,1,5,23,6,47,11,70,2,2,2,1,1,0,403,65,6.20,60,4.83,2,31:49,3:08,15,5,9,1,15,6,40.0,1,0,0.0,2,0,0,2,2,2,0,0
2,ARI,2014-09-14,0,4,7,71,9,70,4,0,38.5,50.0,Sun,2,2,@,NYG,W 25-14,21,6,9,6,13,5,38.5,0,0,,341,4,7,71,9,70,16,141,2,2,2,0,0,0,266,61,4.36,68,5.01,0,27:31,3:00,24,5,15,4,12,6,50.0,1,0,0.0,2,1,1,4,4,1,0,0
3,ARI,2014-09-21,1,0,5,36,9,107,3,0,61.5,50.0,Sun,3,3,,SFO,W 23-14,24,5,12,7,13,8,61.5,1,1,100.0,318,0,5,36,9,107,14,143,2,2,2,1,0,0,338,61,5.54,61,5.21,1,27:40,3:02,20,4,15,1,12,6,50.0,1,1,100.0,2,2,2,3,3,0,0,0
4,ARI,2014-10-05,0,2,3,15,7,67,2,2,18.8,43.8,Sun,4,5,@,DEN,L 20-41,9,1,7,1,16,3,18.8,0,0,,568,2,3,15,7,67,10,82,5,5,5,3,2,0,215,56,3.84,76,7.47,0,24:43,3:16,24,5,18,1,16,7,43.8,0,0,,2,2,2,2,2,0,0,0
5,ARI,2014-10-12,0,4,14,108,6,62,3,2,41.2,20.0,Sun,5,6,,WAS,W 30-20,19,3,15,1,17,7,41.2,0,0,,407,4,14,108,6,62,20,170,2,2,2,2,2,0,317,68,4.66,57,7.14,0,34:19,3:20,21,1,15,5,10,2,20.0,1,1,100.0,3,3,3,3,3,0,0,0
6,ARI,2014-10-19,1,0,6,43,8,74,1,2,60.0,33.3,Sun,6,7,@,OAK,W 24-13,25,7,14,4,15,9,60.0,1,0,0.0,220,0,6,43,8,74,14,117,1,1,1,2,2,0,365,69,5.29,48,4.58,1,36:57,2:57,13,3,8,2,12,4,33.3,0,0,,3,3,3,1,1,0,0,0
7,ARI,2014-10-26,1,3,10,95,11,103,1,2,41.2,45.0,Sun,7,8,,PHI,W 24-20,17,4,9,4,17,7,41.2,1,1,100.0,521,3,10,95,11,103,21,198,2,2,2,2,2,0,400,65,6.15,87,5.99,1,28:50,3:39,27,6,18,3,20,9,45.0,1,1,100.0,3,3,3,1,1,0,0,0
8,ARI,2014-11-02,1,2,6,62,5,33,0,1,60.0,27.3,Sun,8,9,@,DAL,W 28-17,22,5,15,2,15,9,60.0,0,0,,266,2,6,62,5,33,11,95,2,2,2,2,1,0,339,65,5.22,59,4.51,1,31:28,2:56,18,5,10,3,11,3,27.3,1,0,0.0,4,4,4,0,0,0,0,0
9,ARI,2014-11-09,1,3,5,35,8,80,1,0,40.0,10.0,Sun,9,10,,STL,W 31-14,21,3,18,0,15,6,40.0,0,0,,244,3,5,35,8,80,13,115,2,2,2,0,0,0,335,66,5.08,58,4.21,1,33:20,3:02,16,5,9,2,10,1,10.0,2,1,50.0,4,4,4,2,1,0,0,0
10,ARI,2014-11-16,2,1,4,35,9,80,0,2,57.1,33.3,Sun,10,11,,DET,W 14-6,18,3,13,2,14,8,57.1,0,0,,262,1,4,35,9,80,13,115,0,0,0,2,2,0,352,58,6.07,53,4.94,2,30:43,2:52,11,4,6,1,15,5,33.3,1,0,0.0,2,2,2,0,0,0,0,0
11,ARI,2014-11-23,1,0,3,25,7,74,1,4,25.0,38.5,Sun,11,12,@,SEA,L 3-19,12,2,8,2,12,3,25.0,0,0,,293,0,3,25,7,74,10,99,1,1,1,5,4,0,204,49,4.16,58,5.05,1,24:33,2:45,16,6,10,0,13,5,38.5,0,0,,0,0,0,2,1,0,0,0
12,ARI,2014-11-30,3,1,5,34,9,76,1,5,14.3,43.8,Sun,12,13,@,ATL,L 18-29,18,1,15,2,7,1,14.3,0,0,,500,1,5,34,9,76,14,110,2,2,2,5,5,0,329,50,6.58,76,6.58,3,22:57,3:02,22,4,16,2,16,7,43.8,1,1,100.0,2,1,1,1,1,1,1,0
13,ARI,2014-12-07,0,2,6,40,9,75,3,0,40.0,42.9,Sun,13,14,,KAN,W 17-14,18,7,9,2,15,6,40.0,0,0,,390,2,6,40,9,75,15,115,2,2,2,0,0,0,366,65,5.63,61,6.39,0,30:01,3:10,19,4,13,2,14,6,42.9,2,0,0.0,1,0,0,5,3,1,1,0
14,ARI,2014-12-11,0,2,8,59,6,69,4,2,29.4,26.7,Thu,14,15,@,STL,W 12-6,13,8,4,1,17,5,29.4,0,0,,280,2,8,59,6,69,14,128,0,0,0,2,2,0,274,64,4.28,61,4.59,0,34:24,3:09,13,2,11,0,15,4,26.7,1,0,0.0,0,0,0,4,4,0,0,0
15,ARI,2014-12-21,1,0,1,5,11,97,2,0,20.0,41.7,Sun,15,16,,SEA,L 6-35,17,1,12,4,15,3,20.0,1,1,100.0,596,0,1,5,11,97,12,102,5,5,5,3,0,0,216,64,3.38,67,8.90,1,26:57,3:14,23,10,13,0,12,5,41.7,0,0,,0,0,0,2,2,0,0,0
16,ARI,2014-12-28,3,0,3,21,10,78,1,2,40.0,41.7,Sun,16,17,@,SFO,L 17-20,26,7,17,2,10,4,40.0,0,0,,395,0,3,21,10,78,13,99,2,2,2,2,2,0,397,67,5.93,60,6.58,3,30:36,3:03,18,8,9,1,12,5,41.7,0,0,,2,2,2,1,1,0,0,0
17,ARI,2015-09-13,1,1,5,30,7,73,1,4,50.0,38.9,Sun,1,1,,NOR,W 31-19,25,7,13,5,10,5,50.0,0,0,,408,1,5,30,7,73,12,103,1,1,1,4,4,0,427,57,7.49,70,5.83,1,26:36,3:07,18,4,12,2,18,7,38.9,1,0,0.0,4,4,4,1,1,0,0,0
18,ARI,2015-09-20,2,2,8,58,14,170,0,3,55.6,16.7,Sun,2,2,@,CHI,W 48-23,21,6,12,3,9,5,55.6,1,1,100.0,335,2,8,58,14,170,22,228,2,2,2,3,3,0,300,52,5.77,62,5.40,2,30:04,3:18,18,8,7,3,12,2,16.7,1,0,0.0,7,7,6,0,0,0,0,0
19,ARI,2015-09-27,1,4,4,24,6,45,1,0,46.2,33.3,Sun,3,3,,SFO,W 47-7,28,9,15,4,13,6,46.2,1,1,100.0,156,4,4,24,6,45,10,69,1,1,1,0,0,0,446,70,6.37,50,3.12,1,36:32,2:53,10,7,3,0,12,4,33.3,0,0,,6,6,6,1,1,0,0,1
20,ARI,2015-10-04,3,0,3,20,7,66,5,1,18.2,38.5,Sun,4,4,,STL,L 22-24,26,7,17,2,11,2,18.2,2,1,50.0,328,0,3,20,7,66,10,86,3,3,3,1,1,0,447,71,6.30,51,6.43,3,33:13,3:02,13,6,7,0,13,5,38.5,0,0,,1,1,1,5,5,0,0,0
21,ARI,2015-10-11,0,6,9,70,9,85,0,1,12.5,47.1,Sun,5,5,@,DET,W 42-17,15,7,7,1,8,1,12.5,0,0,,435,6,9,70,9,85,18,155,2,2,2,1,1,0,345,45,7.67,89,4.89,0,23:28,3:15,29,3,22,4,17,8,47.1,1,0,0.0,6,6,6,0,0,0,0,0
22,ARI,2015-10-18,3,0,9,111,6,48,2,4,41.7,25.0,Sun,6,6,@,PIT,L 13-25,21,2,18,1,12,5,41.7,1,0,0.0,310,0,9,111,6,48,15,159,2,1,1,4,4,0,469,66,7.11,53,5.85,3,31:09,3:09,14,6,6,2,12,3,25.0,0,0,,1,1,1,3,2,0,0,0
23,ARI,2015-10-26,0,2,4,40,9,64,2,1,41.7,38.5,Mon,7,7,,BAL,W 26-18,21,5,14,2,12,5,41.7,0,0,,276,2,4,40,9,64,13,104,2,1,1,1,1,0,414,59,7.02,59,4.68,0,29:36,3:02,18,3,14,1,13,5,38.5,1,1,100.0,3,3,2,3,2,0,0,0
24,ARI,2015-11-01,4,2,5,25,7,35,2,0,81.3,56.3,Sun,8,8,@,CLE,W 34-20,25,6,17,2,16,13,81.3,0,0,,254,2,5,25,7,35,12,60,3,3,2,0,0,0,491,77,6.38,61,4.16,4,34:23,3:20,16,1,12,3,16,9,56.3,1,0,0.0,4,4,4,2,2,0,0,0
25,ARI,2015-11-15,3,1,9,66,14,131,3,2,47.1,12.5,Sun,9,10,@,SEA,W 39-32,30,5,20,5,17,8,47.1,0,0,,343,1,9,66,14,131,23,197,4,2,2,2,2,0,451,83,5.43,52,6.60,3,38:52,3:53,18,9,7,2,8,1,12.5,1,1,100.0,4,4,4,3,3,0,0,1
26,ARI,2015-11-22,2,1,7,40,10,108,2,1,45.5,38.5,Sun,10,11,,CIN,W 34-31,21,2,15,4,11,5,45.5,0,0,,377,1,7,40,10,108,17,148,4,4,4,1,1,0,383,58,6.60,71,5.31,2,28:45,3:18,24,6,14,4,13,5,38.5,1,1,100.0,4,4,4,2,2,0,0,0
27,ARI,2015-11-29,0,2,7,47,13,81,2,2,50.0,0.0,Sun,11,12,@,SFO,W 19-13,26,5,14,7,14,7,50.0,1,0,0.0,368,2,7,47,13,81,20,128,1,1,1,2,2,0,337,70,4.81,55,6.69,0,37:27,3:03,17,3,14,0,9,0,0.0,2,1,50.0,2,2,1,2,2,0,0,0
28,ARI,2015-12-06,0,1,3,25,7,104,2,1,43.8,8.3,Sun,12,13,@,STL,W 27-3,29,8,18,3,16,7,43.8,1,0,0.0,212,1,3,25,7,104,10,129,0,0,0,1,1,0,524,79,6.63,50,4.24,0,39:47,3:14,9,3,6,0,12,1,8.3,2,1,50.0,3,3,3,2,2,0,0,0
29,ARI,2015-12-10,0,3,4,30,3,25,3,2,46.2,54.5,Thu,13,14,,MIN,W 23-20,22,6,16,0,13,6,46.2,1,1,100.0,389,3,4,30,3,25,7,55,2,2,2,2,2,0,393,66,5.95,63,6.17,0,31:59,2:59,23,4,17,2,11,6,54.5,0,0,,2,2,2,3,3,0,0,0
30,ARI,2015-12-20,0,4,1,10,5,38,2,1,57.1,50.0,Sun,14,15,@,PHI,W 40-17,28,12,15,1,14,8,57.1,0,0,,424,4,1,10,5,38,6,48,2,2,2,1,1,0,493,74,6.66,63,6.73,0,37:28,3:00,19,4,15,0,12,6,50.0,2,0,0.0,5,5,4,2,2,0,0,0
31,ARI,2015-12-27,2,4,10,119,7,59,1,0,50.0,29.4,Sun,15,16,,GNB,W 38-8,19,5,13,1,10,5,50.0,0,0,,178,4,10,119,7,59,17,178,1,0,0,0,0,0,381,56,6.80,64,2.78,2,30:16,3:02,16,5,7,4,17,5,29.4,3,2,66.7,5,5,5,1,1,0,0,0
32,ARI,2016-01-03,3,0,6,43,6,70,0,3,41.7,53.3,Sun,16,17,,SEA,L 6-36,16,0,13,3,12,5,41.7,1,0,0.0,354,0,6,43,6,70,12,113,4,4,3,4,3,0,232,58,4.00,69,5.13,3,23:23,2:57,22,7,14,1,15,8,53.3,1,1,100.0,1,1,0,1,0,0,0,0
33,ARI,2016-09-11,0,2,6,58,8,69,0,3,50.0,62.5,Sun,1,1,,NWE,L 21-23,21,6,14,1,12,6,50.0,0,0,,363,2,6,58,8,69,14,127,2,2,2,3,3,0,344,59,5.83,66,5.50,0,26:01,3:03,19,7,11,1,16,10,62.5,0,0,,3,3,3,1,0,0,0,0
34,ARI,2016-09-18,0,5,3,30,5,39,2,0,42.9,38.5,Sun,2,2,,TAM,W 40-7,20,4,15,1,14,6,42.9,0,0,,306,5,3,30,5,39,8,69,1,1,1,1,0,0,416,65,6.40,76,4.03,0,29:03,3:12,21,5,14,2,13,5,38.5,1,0,0.0,5,5,4,2,2,0,0,0
35,ARI,2016-09-25,5,1,8,50,9,75,1,2,33.3,30.8,Sun,3,3,@,BUF,L 18-33,25,5,17,3,15,5,33.3,1,0,0.0,297,1,8,50,9,75,17,125,4,4,3,2,2,0,348,77,4.52,61,4.87,5,34:00,3:18,16,11,5,0,13,4,30.8,0,0,,2,1,1,1,1,1,0,1
36,ARI,2016-10-02,5,1,6,45,9,84,2,1,46.2,42.9,Sun,4,4,,LAR,L 13-17,26,6,17,3,13,6,46.2,0,0,,288,1,6,45,9,84,15,129,2,2,2,1,1,0,420,75,5.60,55,5.24,5,32:09,3:12,12,1,10,1,14,6,42.9,1,0,0.0,1,1,1,2,2,0,0,0
37,ARI,2016-10-06,0,3,7,50,4,34,1,0,31.3,28.6,Thu,5,5,@,SFO,W 33-21,17,10,6,1,16,5,31.3,0,0,,286,3,7,50,4,34,11,84,3,3,3,0,0,0,288,66,4.36,74,3.86,0,31:44,3:06,25,10,12,3,14,4,28.6,1,1,100.0,4,4,4,1,1,0,0,1
38,ARI,2016-10-17,0,2,9,64,10,83,0,1,54.5,15.4,Mon,6,6,,NYJ,W 28-3,28,10,14,4,11,6,54.5,0,0,,230,2,9,64,10,83,19,147,0,0,0,1,1,0,396,70,5.66,52,4.42,0,36:02,3:05,11,2,8,1,13,2,15.4,2,1,50.0,4,4,4,0,0,0,0,0
39,ARI,2016-10-23,0,0,6,45,10,90,2,2,47.6,21.4,Sun,7,7,,SEA,T 6-6 (OT),23,6,14,3,21,10,47.6,1,0,0.0,257,0,6,45,10,90,16,135,0,0,0,3,2,0,443,90,4.92,57,4.51,0,46:21,3:41,11,4,7,0,14,3,21.4,0,0,,0,0,0,4,2,0,0,0
40,ARI,2016-10-30,2,1,10,88,5,40,0,3,33.3,42.9,Sun,8,8,@,CAR,L 20-30,22,2,19,1,12,4,33.3,1,1,100.0,349,1,10,88,5,40,15,128,3,3,3,3,3,0,340,64,5.31,64,5.45,2,29:12,3:32,19,9,10,0,14,6,42.9,2,1,50.0,3,2,2,0,0,1,0,0
41,ARI,2016-11-13,4,1,2,10,9,100,3,2,50.0,41.2,Sun,9,10,,SFO,W 23-20,26,4,17,5,14,7,50.0,0,0,,281,1,2,10,9,100,11,110,2,2,2,2,2,0,443,74,5.99,61,4.61,4,32:18,3:09,15,4,11,0,17,7,41.2,1,1,100.0,2,2,2,3,3,0,0,0
42,ARI,2016-11-20,2,1,8,96,10,73,1,1,30.8,46.2,Sun,10,11,@,MIN,L 24-30,24,8,12,4,13,4,30.8,1,0,0.0,217,1,8,96,10,73,18,169,4,4,3,1,1,0,290,70,4.14,54,4.02,2,31:02,3:11,16,4,7,5,13,6,46.2,1,0,0.0,3,3,3,1,1,0,0,0
43,ARI,2016-11-27,1,1,8,60,4,23,2,1,36.4,44.4,Sun,11,12,@,ATL,L 19-38,23,3,17,3,11,4,36.4,2,1,50.0,360,1,8,60,4,23,12,83,5,5,5,1,1,0,332,61,5.44,67,5.37,1,25:38,3:01,28,8,15,5,9,4,44.4,1,1,100.0,2,1,1,2,2,1,0,0
44,ARI,2016-12-04,0,2,6,51,7,35,1,3,62.5,45.5,Sun,12,13,,WAS,W 31-23,24,7,16,1,16,10,62.5,1,1,100.0,333,2,6,51,7,35,13,86,2,2,2,3,3,0,369,72,5.13,57,5.84,0,33:46,3:12,19,5,12,2,11,5,45.5,0,0,,4,4,4,2,1,0,0,0
45,ARI,2016-12-11,4,3,7,54,14,118,1,1,30.8,30.8,Sun,13,14,@,MIA,L 23-26,21,6,10,5,13,4,30.8,0,0,,314,3,7,54,14,118,21,172,3,3,3,1,1,0,300,63,4.76,57,5.51,4,29:56,3:30,15,3,11,1,13,4,30.8,0,0,,3,2,0,2,1,1,1,0
46,ARI,2016-12-18,2,1,7,52,5,46,0,2,50.0,64.3,Sun,14,15,,NOR,L 41-48,26,7,17,2,10,5,50.0,1,1,100.0,488,1,7,52,5,46,12,98,6,6,6,2,2,0,425,56,7.59,83,5.88,2,22:47,3:21,33,10,20,3,14,9,64.3,1,1,100.0,6,6,5,1,0,0,0,0
47,ARI,2016-12-24,1,1,7,85,5,40,2,1,11.1,47.1,Sat,15,16,@,SEA,W 34-31,21,10,9,2,9,1,11.1,0,0,,391,1,7,85,5,40,12,125,4,3,2,2,1,0,370,57,6.49,78,5.01,1,26:18,3:21,24,5,17,2,17,8,47.1,2,0,0.0,4,4,4,3,2,0,0,0
48,ARI,2017-01-01,2,3,4,51,9,61,3,2,28.6,14.3,Sun,16,17,@,LAR,W 44-6,21,3,15,3,14,4,28.6,2,1,50.0,123,3,4,51,9,61,13,112,0,0,0,2,2,0,344,67,5.13,57,2.16,2,27:58,3:12,9,2,5,2,14,2,14.3,2,1,50.0,5,5,5,3,3,0,0,0
49,ARI,2017-09-10,4,1,6,55,10,100,1,1,40.0,50.0,Sun,1,1,@,DET,L 23-35,24,4,15,5,15,6,40.0,1,1,100.0,367,1,6,55,10,100,16,155,5,2,2,1,1,0,308,67,4.60,69,5.32,4,26:40,3:26,19,3,15,1,16,8,50.0,1,0,0.0,3,2,2,2,1,1,0,0
50,ARI,2017-09-17,1,1,6,41,8,70,3,2,40.0,44.4,Sun,2,2,@,IND,W 16-13 (OT),17,2,14,1,15,6,40.0,1,0,0.0,266,1,6,41,8,70,14,111,1,1,1,2,2,0,389,65,5.98,70,3.80,1,28:49,3:16,18,6,11,1,18,8,44.4,0,0,,1,1,1,4,3,0,0,0
51,ARI,2017-09-25,0,0,6,50,9,76,1,0,44.4,22.2,Mon,3,3,,DAL,L 17-28,22,2,15,5,18,8,44.4,1,0,0.0,273,0,6,50,9,76,15,126,4,4,4,0,0,0,332,75,4.43,45,6.07,0,36:15,3:16,15,6,7,2,9,2,22.2,0,0,,2,2,2,2,1,0,0,0
52,ARI,2017-10-01,1,1,10,80,13,113,4,5,31.3,26.3,Sun,4,4,,SFO,W 18-15 (OT),25,5,17,3,16,5,31.3,0,0,,305,1,10,80,13,113,23,193,0,0,0,5,5,0,368,79,4.66,79,3.86,1,36:15,3:40,20,6,13,1,19,5,26.3,1,1,100.0,1,0,0,4,4,0,0,0
