Home Team Name,Away Team Name,Winner,Home Team Total Yards,Away Team Total Yards,Home Team Turnovers,Away Team Turnovers
Kansas City Chiefs,Houston Texans,1,369,360,0,1
Atlanta Falcons,Seattle Seahawks,0,506,383,2,0
Buffalo Bills,New York Jets,1,404,254,2,2
Carolina Panthers,Las Vegas Raiders,0,388,372,0,0
Detroit Lions,Chicago Bears,0,426,363,1,0
Baltimore Ravens,Cleveland Browns,1,381,306,1,3
Jacksonville Jaguars,Indianapolis Colts,1,241,445,0,2
Minnesota Vikings,Green Bay Packers,0,382,522,1,0
New England Patriots,Miami Dolphins,1,357,269,1,3
Washington Football Team,Philadelphia Eagles,1,239,265,0,3
Cincinnati Bengals,Los Angeles Chargers,0,295,362,2,0
San Francisco 49ers,Arizona Cardinals,0,366,404,0,1
New Orleans Saints,Tampa Bay Buccaneers,1,271,310,0,3
Los Angeles Rams,Dallas Cowboys,1,422,380,1,0
New York Giants,Pittsburgh Steelers,0,291,349,2,1
Denver Broncos,Tennessee Titans,0,323,377,1,0
Cleveland Browns,Cincinnati Bengals,1,434,353,1,1
Dallas Cowboys,Atlanta Falcons,1,570,380,3,0
Miami Dolphins,Buffalo Bills,0,410,523,0,1
Tampa Bay Buccaneers,Carolina Panthers,1,339,427,2,4
Chicago Bears,New York Giants,1,304,295,2,2
Indianapolis Colts,Minnesota Vikings,1,354,175,1,3
Pittsburgh Steelers,Denver Broncos,1,410,319,2,2
Green Bay Packers,Detroit Lions,1,488,307,0,1
Tennessee Titans,Jacksonville Jaguars,1,354,480,0,2
New York Jets,San Francisco 49ers,0,277,359,0,1
Philadelphia Eagles,Los Angeles Rams,0,363,449,3,1
Arizona Cardinals,Washington Football Team,1,438,316,1,2
Houston Texans,Baltimore Ravens,0,304,407,2,0
Los Angeles Chargers,Kansas City Chiefs,0,479,414,1,0
Seattle Seahawks,New England Patriots,1,429,464,1,1
Las Vegas Raiders,New Orleans Saints,1,377,424,1,1
Jacksonville Jaguars,Miami Dolphins,0,318,294,2,0
Atlanta Falcons,Chicago Bears,0,371,437,1,2
Buffalo Bills,Los Angeles Rams,1,375,478,2,2
Philadelphia Eagles,Cincinnati Bengals,1,378,304,2,0
Cleveland Browns,Washington Football Team,1,300,309,0,5
Pittsburgh Steelers,Houston Texans,1,387,260,0,1
Minnesota Vikings,Tennessee Titans,0,464,444,3,1
New England Patriots,Las Vegas Raiders,1,406,375,1,3
New York Giants,San Francisco 49ers,0,231,420,3,0
Los Angeles Chargers,Carolina Panthers,0,436,302,4,0
Indianapolis Colts,New York Jets,1,353,260,0,3
Arizona Cardinals,Detroit Lions,0,377,322,3,0
Seattle Seahawks,Dallas Cowboys,1,412,522,1,3
Denver Broncos,Tampa Bay Buccaneers,0,226,353,2,0
New Orleans Saints,Green Bay Packers,0,397,369,1,0
Baltimore Ravens,Kansas City Chiefs,0,228,517,1,1
New York Jets,Denver Broncos,0,321,359,0,3
Carolina Panthers,Arizona Cardinals,1,444,262,1,1
Chicago Bears,Indianapolis Colts,0,269,289,1,0
Cincinnati Bengals,Jacksonville Jaguars,1,505,429,1,1
Dallas Cowboys,Cleveland Browns,0,566,508,3,0
Detroit Lions,New Orleans Saints,0,281,392,1,1
Houston Texans,Minnesota Vikings,0,386,410,1,0
Miami Dolphins,Seattle Seahawks,0,415,441,2,1
Washington Football Team,Baltimore Ravens,0,343,350,1,2
Tampa Bay Buccaneers,Los Angeles Chargers,1,484,324,1,2
Los Angeles Rams,New York Giants,1,240,295,1,1
Las Vegas Raiders,Buffalo Bills,0,383,337,2,0
San Francisco 49ers,Philadelphia Eagles,0,417,267,3,1
Kansas City Chiefs,New England Patriots,1,323,357,1,4
Green Bay Packers,Atlanta Falcons,1,403,327,0,0
Chicago Bears,Tampa Bay Buccaneers,1,243,339,1,1
Atlanta Falcons,Carolina Panthers,0,373,437,1,0
Baltimore Ravens,Cincinnati Bengals,1,332,205,1,3
New York Jets,Arizona Cardinals,0,285,496,0,1
Houston Texans,Jacksonville Jaguars,1,486,364,2,2
Kansas City Chiefs,Las Vegas Raiders,0,413,490,1,1
Pittsburgh Steelers,Philadelphia Eagles,1,367,336,1,2
Washington Football Team,Los Angeles Rams,0,108,429,0,1
San Francisco 49ers,Miami Dolphins,0,259,436,3,0
Cleveland Browns,Indianapolis Colts,1,385,308,2,2
Dallas Cowboys,New York Giants,1,402,300,2,1
Seattle Seahawks,Minnesota Vikings,1,314,449,1,2
New Orleans Saints,Los Angeles Chargers,1,408,350,1,0
Tennessee Titans,Buffalo Bills,1,334,370,0,3
New England Patriots,Denver Broncos,0,288,299,3,2
Jacksonville Jaguars,Detroit Lions,0,275,403,2,1
Minnesota Vikings,Atlanta Falcons,0,365,462,3,1
Carolina Panthers,Chicago Bears,0,303,261,3,1
Indianapolis Colts,Cincinnati Bengals,1,430,398,2,1
Pittsburgh Steelers,Cleveland Browns,1,277,220,0,2
Tennessee Titans,Houston Texans,1,607,412,2,0
New York Giants,Washington Football Team,1,240,337,1,2
Philadelphia Eagles,Baltimore Ravens,0,364,355,1,0
Miami Dolphins,New York Jets,1,302,263,2,1
Tampa Bay Buccaneers,Green Bay Packers,1,324,201,0,2
San Francisco 49ers,Los Angeles Rams,1,390,311,0,1
Buffalo Bills,Kansas City Chiefs,0,206,466,1,1
Dallas Cowboys,Arizona Cardinals,0,344,438,4,0
Philadelphia Eagles,New York Giants,1,442,325,1,3
Houston Texans,Green Bay Packers,0,365,379,1,0
Tennessee Titans,Pittsburgh Steelers,0,292,362,0,3
Atlanta Falcons,Detroit Lions,0,388,386,1,0
New York Jets,Buffalo Bills,0,191,422,2,1
New Orleans Saints,Carolina Panthers,1,415,283,1,0
Cincinnati Bengals,Cleveland Browns,0,468,398,2,1
Washington Football Team,Dallas Cowboys,1,397,142,0,1
Las Vegas Raiders,Tampa Bay Buccaneers,0,347,454,1,0
Denver Broncos,Kansas City Chiefs,0,411,286,4,1
New England Patriots,San Francisco 49ers,0,241,467,4,2
Los Angeles Chargers,Jacksonville Jaguars,1,484,294,0,1
Arizona Cardinals,Seattle Seahawks,1,519,572,2,3
Los Angeles Rams,Chicago Bears,1,371,279,1,2
Carolina Panthers,Atlanta Falcons,0,304,401,1,1
Detroit Lions,Indianapolis Colts,0,326,366,2,0
Green Bay Packers,Minnesota Vikings,0,400,324,1,0
Miami Dolphins,Los Angeles Rams,1,145,471,2,4
Baltimore Ravens,Pittsburgh Steelers,0,457,221,4,1
Buffalo Bills,New England Patriots,1,339,349,1,1
Cincinnati Bengals,Tennessee Titans,1,367,441,0,1
Cleveland Browns,Las Vegas Raiders,0,223,309,1,0
Kansas City Chiefs,New York Jets,1,496,221,0,1
Denver Broncos,Los Angeles Chargers,1,351,485,1,2
Seattle Seahawks,San Francisco 49ers,1,350,351,0,2
Chicago Bears,New Orleans Saints,0,329,394,1,0
Philadelphia Eagles,Dallas Cowboys,1,222,265,4,2
New York Giants,Tampa Bay Buccaneers,0,357,344,2,1
San Francisco 49ers,Green Bay Packers,0,337,405,2,0
Indianapolis Colts,Baltimore Ravens,0,339,266,2,1
Minnesota Vikings,Detroit Lions,1,487,421,0,3
Jacksonville Jaguars,Houston Texans,0,403,374,1,1
Atlanta Falcons,Denver Broncos,1,363,405,1,1
Buffalo Bills,Seattle Seahawks,1,420,419,0,4
Kansas City Chiefs,Carolina Panthers,1,397,435,1,0
Tennessee Titans,Chicago Bears,1,228,375,0,2
Washington Football Team,New York Giants,0,402,350,5,0
Los Angeles Chargers,Las Vegas Raiders,0,440,320,1,1
Arizona Cardinals,Miami Dolphins,0,442,312,1,0
Dallas Cowboys,Pittsburgh Steelers,0,364,355,2,0
Tampa Bay Buccaneers,New Orleans Saints,0,194,420,3,2
New York Jets,New England Patriots,0,322,433,1,0
Tennessee Titans,Indianapolis Colts,0,294,430,0,0
Cleveland Browns,Houston Texans,1,356,243,0,0
Detroit Lions,Washington Football Team,1,372,464,0,1
Green Bay Packers,Jacksonville Jaguars,1,395,260,2,1
Carolina Panthers,Tampa Bay Buccaneers,0,187,544,1,1
New York Giants,Philadelphia Eagles,1,382,346,0,0
Las Vegas Raiders,Denver Broncos,1,357,313,0,5
Miami Dolphins,Los Angeles Chargers,1,280,273,1,1
Arizona Cardinals,Buffalo Bills,1,453,369,2,2
Pittsburgh Steelers,Cincinnati Bengals,1,377,324,0,2
New Orleans Saints,San Francisco 49ers,1,237,281,2,4
Los Angeles Rams,Seattle Seahawks,1,389,333,1,3
New England Patriots,Baltimore Ravens,1,308,357,0,1
Chicago Bears,Minnesota Vikings,0,149,385,2,2
Seattle Seahawks,Arizona Cardinals,1,347,314,0,0
New Orleans Saints,Atlanta Falcons,1,376,248,1,2
Washington Football Team,Cincinnati Bengals,1,325,272,1,2
Cleveland Browns,Philadelphia Eagles,1,324,315,1,3
Houston Texans,New England Patriots,1,399,435,0,0
Jacksonville Jaguars,Pittsburgh Steelers,0,206,373,4,1
Baltimore Ravens,Tennessee Titans,0,306,423,1,1
Carolina Panthers,Detroit Lions,1,374,185,2,1
Denver Broncos,Miami Dolphins,1,459,223,2,1
Los Angeles Chargers,New York Jets,1,376,292,1,1
Indianapolis Colts,Green Bay Packers,1,420,367,2,4
Minnesota Vikings,Dallas Cowboys,0,430,376,2,1
Las Vegas Raiders,Kansas City Chiefs,0,364,460,1,1
Tampa Bay Buccaneers,Los Angeles Rams,0,251,413,2,2
Detroit Lions,Houston Texans,0,388,384,3,1
Dallas Cowboys,Washington Football Team,0,247,338,2,1
Atlanta Falcons,Las Vegas Raiders,1,304,243,1,5
Buffalo Bills,Los Angeles Chargers,1,332,367,3,1
Cincinnati Bengals,New York Giants,0,155,386,3,1
Jacksonville Jaguars,Cleveland Browns,0,375,459,0,1
Indianapolis Colts,Tennessee Titans,0,336,449,1,0
New England Patriots,Arizona Cardinals,1,179,298,2,1
New York Jets,Miami Dolphins,0,260,345,2,2
Minnesota Vikings,Carolina Panthers,1,387,374,3,1
Denver Broncos,New Orleans Saints,0,112,292,3,1
Los Angeles Rams,San Francisco 49ers,0,308,345,4,3
Tampa Bay Buccaneers,Kansas City Chiefs,0,417,543,2,1
Green Bay Packers,Chicago Bears,1,393,350,0,3
Philadelphia Eagles,Seattle Seahawks,0,250,301,1,0
Pittsburgh Steelers,Baltimore Ravens,1,334,219,2,2
Atlanta Falcons,New Orleans Saints,0,332,424,1,1
Chicago Bears,Detroit Lions,0,389,460,1,1
Miami Dolphins,Cincinnati Bengals,1,406,196,1,2
Tennessee Titans,Cleveland Browns,0,431,458,3,1
Houston Texans,Indianapolis Colts,0,398,371,2,0
Minnesota Vikings,Jacksonville Jaguars,1,420,390,2,4
New York Jets,Las Vegas Raiders,0,376,440,3,2
Arizona Cardinals,Los Angeles Rams,0,232,463,2,1
Seattle Seahawks,New York Giants,0,327,290,2,1
Green Bay Packers,Philadelphia Eagles,1,437,278,0,1
Los Angeles Chargers,New England Patriots,0,258,291,2,0
Kansas City Chiefs,Denver Broncos,1,447,330,0,2
Pittsburgh Steelers,Washington Football Team,0,326,318,1,0
San Francisco 49ers,Buffalo Bills,0,402,449,2,1
Baltimore Ravens,Dallas Cowboys,1,401,388,1,1
Los Angeles Rams,New England Patriots,1,318,220,1,1
Carolina Panthers,Denver Broncos,0,370,365,0,1
Chicago Bears,Houston Texans,1,410,263,0,2
Cincinnati Bengals,Dallas Cowboys,0,309,272,3,0
New York Giants,Arizona Cardinals,0,159,390,3,0
Jacksonville Jaguars,Tennessee Titans,0,354,454,1,1
Miami Dolphins,Kansas City Chiefs,0,367,448,1,4
Tampa Bay Buccaneers,Minnesota Vikings,1,303,335,0,1
Las Vegas Raiders,Indianapolis Colts,0,424,456,3,0
Seattle Seahawks,New York Jets,1,410,185,1,1
Los Angeles Chargers,Atlanta Falcons,1,345,319,1,3
Detroit Lions,Green Bay Packers,0,293,410,0,0
Philadelphia Eagles,New Orleans Saints,1,413,358,1,2
San Francisco 49ers,Washington Football Team,0,344,193,3,1
Buffalo Bills,Pittsburgh Steelers,1,334,224,2,2
Cleveland Browns,Baltimore Ravens,0,493,385,1,0
Las Vegas Raiders,Los Angeles Chargers,0,449,402,1,0
Denver Broncos,Buffalo Bills,0,255,534,1,1
Green Bay Packers,Carolina Panthers,1,291,364,0,1
Atlanta Falcons,Tampa Bay Buccaneers,0,369,416,0,0
Minnesota Vikings,Chicago Bears,0,407,397,1,1
Indianapolis Colts,Houston Texans,1,350,425,0,2
Dallas Cowboys,San Francisco 49ers,1,291,458,0,4
Tennessee Titans,Detroit Lions,1,463,430,0,3
Baltimore Ravens,Jacksonville Jaguars,1,409,267,1,1
Miami Dolphins,New England Patriots,1,383,303,1,1
Washington Football Team,Seattle Seahawks,0,353,302,2,1
Arizona Cardinals,Philadelphia Eagles,1,526,422,3,0
Los Angeles Rams,New York Jets,0,303,289,1,0
New Orleans Saints,Kansas City Chiefs,0,285,411,1,1
New York Giants,Cleveland Browns,0,288,392,0,0
Cincinnati Bengals,Pittsburgh Steelers,1,230,244,0,3
New Orleans Saints,Minnesota Vikings,1,583,364,2,0
Detroit Lions,Tampa Bay Buccaneers,0,186,588,2,0
Arizona Cardinals,San Francisco 49ers,0,350,398,2,1
Las Vegas Raiders,Miami Dolphins,0,418,383,1,0
Kansas City Chiefs,Atlanta Falcons,1,395,367,2,1
Jacksonville Jaguars,Chicago Bears,0,279,391,2,1
Houston Texans,Cincinnati Bengals,0,488,540,1,0
New York Jets,Cleveland Browns,1,333,299,0,2
Pittsburgh Steelers,Indianapolis Colts,1,354,365,0,2
Baltimore Ravens,New York Giants,1,432,269,1,0
Washington Football Team,Carolina Panthers,0,386,280,4,2
Los Angeles Chargers,Denver Broncos,1,316,396,0,2
Dallas Cowboys,Philadelphia Eagles,1,513,477,1,3
Seattle Seahawks,Los Angeles Rams,1,292,334,0,1
Green Bay Packers,Tennessee Titans,1,448,260,1,2
New England Patriots,Buffalo Bills,0,201,474,0,0
Tampa Bay Buccaneers,Atlanta Falcons,1,485,385,1,2
Buffalo Bills,Miami Dolphins,1,455,454,2,4
Cincinnati Bengals,Baltimore Ravens,0,195,525,2,1
Cleveland Browns,Pittsburgh Steelers,1,358,394,0,1
New York Giants,Dallas Cowboys,1,336,307,2,1
Detroit Lions,Minnesota Vikings,0,417,508,2,0
New England Patriots,New York Jets,1,404,350,0,2
Carolina Panthers,New Orleans Saints,0,320,347,5,0
Chicago Bears,Green Bay Packers,0,356,316,2,1
Indianapolis Colts,Jacksonville Jaguars,1,437,283,1,1
Los Angeles Rams,Arizona Cardinals,1,333,214,2,1
Denver Broncos,Las Vegas Raiders,0,446,465,0,4
Houston Texans,Tennessee Titans,0,457,492,1,1
Kansas City Chiefs,Los Angeles Chargers,0,268,416,1,0
San Francisco 49ers,Seattle Seahawks,0,328,280,1,0
Philadelphia Eagles,Washington Football Team,0,216,248,3,2
